model,MAE,RMSE,R2
XGBoost,0.4312594795227051,0.4712475570535473,-1.5362523986858871
RandomForest,0.43670933280952384,0.4718990006261406,-1.5432693786198057
LinearRegression,0.7098391355061213,0.8937229702199168,-8.122210455672796
