year,district,crop,yield_t_ha,sown_area_ha,gross_output_t
2010,Целиноградский,Пшеница,0.42000000000000004,220294.0,92523.48000000001
2011,Целиноградский,Пшеница,1.04,216722.2,225391.08800000002
2012,Целиноградский,Пшеница,0.54,201148.6,108620.244
2013,Целиноградский,Пшеница,1.1099999999999999,194592.4,215997.56399999995
2014,Целиноградский,Пшеница,0.97,186344.19,180753.8643
2015,Целиноградский,Пшеница,0.9099999999999999,188192.4,171255.08399999997
2016,Целиноградский,Пшеница,1.1099999999999999,206197.4,228879.11399999997
2017,Целиноградский,Пшеница,0.72,185842.0,133806.24
2018,Целиноградский,Пшеница,1.1800000000000002,165765.8,195603.644
2019,Целиноградский,Пшеница,0.8,179520.7,143616.56000000003
2020,Целиноградский,Пшеница,1.29,185727.8,239588.862
2021,Целиноградский,Пшеница,0.96327,187247.43,180369.8318961
2022,Целиноградский,Пшеница,0.71971,175633.8,126405.40219799998
2023,Целиноградский,Пшеница,0.51,184738.0,94216.38
2024,Целиноградский,Пшеница,1.29,165645.44,213682.6176
2025,Целиноградский,Пшеница,1.3800000000000001,161697.6,223142.68800000002
1991,Шортандинский,Зерновые и бобовые,0.72,191600.0,137952.0
1992,Шортандинский,Зерновые и бобовые,2.18,190600.0,415508.00000000006
1993,Шортандинский,Зерновые и бобовые,1.34,184100.0,246694.00000000003
1994,Шортандинский,Зерновые и бобовые,0.97,177900.0,172563.0
1995,Шортандинский,Зерновые и бобовые,0.8400000000000001,244300.0,205212.00000000003
1996,Шортандинский,Зерновые и бобовые,0.75,181500.0,136125.0
1997,Шортандинский,Зерновые и бобовые,0.6599999999999999,181900.0,120053.99999999999
1998,Шортандинский,Зерновые и бобовые,0.42000000000000004,179300.0,75306.0
1999,Шортандинский,Зерновые и бобовые,1.6800000000000002,160261.0,269238.48000000004
2000,Шортандинский,Зерновые и бобовые,1.1,175702.0,193272.2
2001,Шортандинский,Зерновые и бобовые,1.29,180097.0,232325.13
2002,Шортандинский,Зерновые и бобовые,1.1,183183.0,201501.30000000002
2003,Шортандинский,Зерновые и бобовые,1.1300000000000001,178800.0,202044.00000000003
2004,Шортандинский,Зерновые и бобовые,0.8300000000000001,193000.0,160190.0
2005,Шортандинский,Зерновые и бобовые,0.93,185447.0,172465.71000000002
2006,Шортандинский,Зерновые и бобовые,1.04,186850.0,194324.0
2007,Шортандинский,Зерновые и бобовые,0.96,190382.0,182766.72
2008,Шортандинский,Зерновые и бобовые,0.6900000000000001,196240.6,135406.01400000002
2009,Шортандинский,Зерновые и бобовые,1.25,226939.1,283673.875
2010,Шортандинский,Зерновые и бобовые,0.42000000000000004,218089.5,91597.59000000001
2011,Шортандинский,Зерновые и бобовые,1.1800000000000002,205463.3,242446.69400000002
2012,Шортандинский,Зерновые и бобовые,0.58,199787.0,115876.45999999999
2013,Шортандинский,Зерновые и бобовые,1.1099999999999999,197887.6,219655.23599999998
2014,Шортандинский,Зерновые и бобовые,0.95,192054.48,182451.756
2015,Шортандинский,Зерновые и бобовые,1.06687,189969.0,202672.22703
2016,Шортандинский,Зерновые и бобовые,1.30876,199106.0,260581.96855999998
2017,Шортандинский,Зерновые и бобовые,0.9896,203089.0,200976.8744
2018,Шортандинский,Зерновые и бобовые,1.5,203975.0,305962.5
2019,Шортандинский,Зерновые и бобовые,1.0699999999999998,206236.7,220673.26899999997
2020,Шортандинский,Зерновые и бобовые,1.55,199385.7,309047.835
2021,Шортандинский,Зерновые и бобовые,1.19972,204912.44,245837.55251679997
2022,Шортандинский,Зерновые и бобовые,1.22959,212946.1,261836.395099
2023,Шортандинский,Зерновые и бобовые,0.64,223597.4,143102.336
2024,Шортандинский,Зерновые и бобовые,1.54,213746.27,329169.2558
2025,Шортандинский,Зерновые и бобовые,1.64,199450.79,327099.2956
1991,Шортандинский,Пшеница,0.6900000000000001,132000.0,91080.00000000001
1992,Шортандинский,Пшеница,2.2,132300.0,291060.0
1993,Шортандинский,Пшеница,0.9800000000000001,118600.0,116228.00000000001
1994,Шортандинский,Пшеница,0.8400000000000001,121600.0,102144.00000000001
1995,Шортандинский,Пшеница,0.85,141200.0,120020.0
1996,Шортандинский,Пшеница,0.74,147200.0,108928.0
1997,Шортандинский,Пшеница,0.7,150500.0,105350.0
1998,Шортандинский,Пшеница,0.41,153300.0,62852.99999999999
2000,Шортандинский,Пшеница,1.04,151.0,157.04
2001,Шортандинский,Пшеница,1.25,151.5,189.375
2002,Шортандинский,Пшеница,1.0699999999999998,158.0,169.05999999999997
2003,Шортандинский,Пшеница,1.1400000000000001,157.5,179.55
2004,Шортандинский,Пшеница,0.85,166254.0,141315.9
2005,Шортандинский,Пшеница,0.9099999999999999,169705.0,154431.55
2006,Шортандинский,Пшеница,1.04,169231.0,176000.24000000002
2007,Шортандинский,Пшеница,0.93,170344.0,158419.92
2008,Шортандинский,Пшеница,0.6799999999999999,174433.6,118614.848
2009,Шортандинский,Пшеница,1.19,202992.6,241561.194
2010,Шортандинский,Пшеница,0.42000000000000004,207030.6,86952.85200000001
2011,Шортандинский,Пшеница,1.15,192956.0,221899.4
2012,Шортандинский,Пшеница,0.5599999999999999,180311.0,100974.15999999999
2013,Шортандинский,Пшеница,1.02,175461.6,178970.832
2014,Шортандинский,Пшеница,0.89,163392.26,145419.11140000002
2015,Шортандинский,Пшеница,1.09,156792.0,170903.28
2016,Шортандинский,Пшеница,1.23,168742.0,207552.66
2017,Шортандинский,Пшеница,0.96,165259.0,158648.63999999998
2018,Шортандинский,Пшеница,1.4300000000000002,154707.0,221231.01000000004
2019,Шортандинский,Пшеница,1.02,156344.4,159471.288
2020,Шортандинский,Пшеница,1.49,169618.0,252730.82
2021,Шортандинский,Пшеница,1.1853799999999999,180878.14,214409.3295932
2022,Шортандинский,Пшеница,1.21711,184928.0,225077.71808
2023,Шортандинский,Пшеница,0.65,186153.9,121000.035
2024,Шортандинский,Пшеница,1.49,185861.15,276933.1135
2025,Шортандинский,Пшеница,1.67,162210.5,270891.535
